fraction_raw,fraction_label,subset_size,model_raw,model_label,eval_loss,eval_accuracy,eval_f1_macro,eval_f1_weighted,Security_precision,Security_recall,Security_f1-score,Security_support,Maoist_precision,Maoist_recall,Maoist_f1-score,Maoist_support,Unknown_precision,Unknown_recall,Unknown_f1-score,Unknown_support,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1-score,macro_avg_support,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1-score,weighted_avg_support,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,train_support_Maoist,train_support_Security,train_support_Unknown
0.125,12%,991,google/electra-base-discriminator,ELECTRA,0.2723398506641388,0.9173387096774194,0.6253115590915436,0.8964146020952208,0.8588957055214724,0.9836065573770492,0.9170305676855895,427.0,0.974155069582505,0.9441233140655106,0.958904109589041,519.0,0.0,0.0,0.0,46.0,0.9173387096774194,0.6110169250346592,0.6425766238141866,0.6253115590915436,992.0,0.8793699066239807,0.9173387096774194,0.8964146020952208,992.0,2.1484,461.735,14.429,2.0,534,424,33
0.25,25%,1982,bert-base-cased,BERT,0.22010046243667603,0.9495967741935484,0.9122361882158411,0.9492486319545523,0.9505882352941176,0.9461358313817331,0.9483568075117371,427.0,0.9543726235741445,0.9672447013487476,0.9607655502392345,519.0,0.8780487804878049,0.782608695652174,0.8275862068965517,46.0,0.9495967741935484,0.9276698797853556,0.8986630761275515,0.9122361882158411,992.0,0.9492044475887179,0.9495967741935484,0.9492486319545523,992.0,1.9646,504.935,15.779,2.0,1056,843,83
0.25,25%,1982,snowood1/ConfliBERT-scr-cased,ConfliBERT,0.22046561539173126,0.9435483870967742,0.8947038160729188,0.9435753848073682,0.9396751740139211,0.9484777517564403,0.9440559440559441,427.0,0.9611650485436893,0.953757225433526,0.9574468085106383,519.0,0.782608695652174,0.782608695652174,0.782608695652174,46.0,0.9435483870967742,0.8944829727365948,0.89494789094738,0.8947038160729188,992.0,0.9436350398166523,0.9435483870967742,0.9435753848073682,992.0,1.9775,501.646,15.676,2.0,1056,843,83
0.25,25%,1982,FacebookAI/roberta-base,RoBERTa,0.2211398482322693,0.9455645161290323,0.8996247819291704,0.9452759558579626,0.9375,0.9484777517564403,0.9429569266589057,427.0,0.9613899613899614,0.9595375722543352,0.9604628736740598,519.0,0.8333333333333334,0.7608695652173914,0.7954545454545454,46.0,0.9455645161290323,0.9107410982410983,0.889628296409389,0.8996247819291704,992.0,0.9451685718696807,0.9455645161290323,0.9452759558579626,992.0,1.9728,502.851,15.714,2.0,1056,843,83
0.25,25%,1982,distilbert-base-cased,DistilBERT,0.22087761759757996,0.9395161290322581,0.8731338481564025,0.9384483384768235,0.9435294117647058,0.9391100702576113,0.9413145539906104,427.0,0.9452830188679245,0.9653179190751445,0.9551954242135366,519.0,0.8108108108108109,0.6521739130434783,0.7228915662650602,46.0,0.9395161290322581,0.8998744138144804,0.8522006341254112,0.8731338481564025,992.0,0.9382925835819349,0.9395161290322581,0.9384483384768235,992.0,1.2246,810.029,25.313,2.0,1056,843,83
0.25,25%,1982,xlnet-base-cased,XLNet,0.2260511815547943,0.9455645161290323,0.8986250170209747,0.9455152756513735,0.9398148148148148,0.9508196721311475,0.9452852153667055,427.0,0.9631067961165048,0.9556840077071291,0.9593810444874274,519.0,0.8,0.782608695652174,0.7912087912087912,46.0,0.9455645161290323,0.9009738703104399,0.8963707918301501,0.8986250170209747,992.0,0.9455174930548305,0.9455645161290323,0.9455152756513735,992.0,2.7975,354.603,11.081,2.0,1056,843,83
0.25,25%,1982,google/electra-base-discriminator,ELECTRA,0.23671121895313263,0.9213709677419355,0.7584226761053393,0.9145178476817322,0.8814655172413793,0.9578454332552693,0.9180695847362514,427.0,0.9666011787819253,0.9479768786127167,0.9571984435797666,519.0,0.6842105263157895,0.2826086956521739,0.4,46.0,0.9213709677419355,0.8440924074463646,0.72947700250672,0.7584226761053393,992.0,0.9168603546979985,0.9213709677419355,0.9145178476817322,992.0,2.1553,460.254,14.383,2.0,1056,843,83
0.5,50%,3965,bert-base-cased,BERT,0.21727819740772247,0.9445564516129032,0.8896077671454918,0.9443685409498499,0.9297052154195011,0.9601873536299765,0.9447004608294931,427.0,0.9704724409448819,0.9499036608863198,0.9600778967867576,519.0,0.7906976744186046,0.7391304347826086,0.7640449438202247,46.0,0.9445564516129032,0.8969584435943293,0.8830738164329683,0.8896077671454918,992.0,0.944588121832436,0.9445564516129032,0.9443685409498499,992.0,2.0188,491.373,15.355,2.0,2072,1711,182
0.5,50%,3965,snowood1/ConfliBERT-scr-cased,ConfliBERT,0.19627447426319122,0.9475806451612904,0.9026513740718277,0.9474385025847025,0.9441860465116279,0.9508196721311475,0.9474912485414235,427.0,0.9613899613899614,0.9595375722543352,0.9604628736740598,519.0,0.8181818181818182,0.782608695652174,0.8,46.0,0.9475806451612904,0.9079192753611358,0.8976553133458856,0.9026513740718277,992.0,0.9473439470344946,0.9475806451612904,0.9474385025847025,992.0,1.9943,497.414,15.544,2.0,2072,1711,182
0.5,50%,3965,FacebookAI/roberta-base,RoBERTa,0.18688492476940155,0.9526209677419355,0.908794322915619,0.9524432197522673,0.9425287356321839,0.9601873536299765,0.951276102088167,427.0,0.9708171206225681,0.9614643545279383,0.9661181026137464,519.0,0.8372093023255814,0.782608695652174,0.8089887640449438,46.0,0.9526209677419355,0.9168517195267779,0.9014201346033629,0.908794322915619,992.0,0.9524450439768468,0.9526209677419355,0.9524432197522673,992.0,1.965,504.838,15.776,2.0,2072,1711,182
0.5,50%,3965,distilbert-base-cased,DistilBERT,0.21368779242038727,0.9405241935483871,0.8918178697462166,0.9402172284367429,0.9227272727272727,0.9508196721311475,0.936562860438293,427.0,0.9647749510763209,0.9499036608863198,0.9572815533980582,519.0,0.8292682926829268,0.7391304347826086,0.7816091954022989,46.0,0.9405241935483871,0.9055901721621735,0.8799512559333587,0.8918178697462166,992.0,0.9403922243211398,0.9405241935483871,0.9402172284367429,992.0,1.2061,822.519,25.704,2.0,2072,1711,182
0.5,50%,3965,xlnet-base-cased,XLNet,0.22838765382766724,0.9495967741935484,0.908004666678602,0.9492440544821541,0.9339407744874715,0.9601873536299765,0.9468822170900693,427.0,0.9688109161793372,0.9576107899807321,0.9631782945736435,519.0,0.875,0.7608695652173914,0.813953488372093,46.0,0.9495967741935484,0.9259172302222695,0.8928892362760333,0.908004666678602,992.0,0.9494511856887362,0.9495967741935484,0.9492440544821541,992.0,2.7873,355.9,11.122,2.0,2072,1711,182
0.5,50%,3965,google/electra-base-discriminator,ELECTRA,0.22138641774654388,0.9455645161290323,0.9002385565889574,0.9456796407061441,0.9400921658986175,0.955503512880562,0.9477351916376306,427.0,0.9647749510763209,0.9499036608863198,0.9572815533980582,519.0,0.7872340425531915,0.8043478260869565,0.7956989247311828,46.0,0.9455645161290323,0.8973670531760433,0.9032516666179461,0.9002385565889574,992.0,0.9459176616983539,0.9455645161290323,0.9456796407061441,992.0,2.1335,464.967,14.53,2.0,2072,1711,182
1.0,100%,7930,bert-base-cased,BERT,0.18548032641410828,0.9495967741935484,0.8930955894157705,0.9493459996658603,0.9423963133640553,0.9578454332552693,0.9500580720092915,427.0,0.9689320388349515,0.9614643545279383,0.965183752417795,519.0,0.7906976744186046,0.7391304347826086,0.7640449438202247,46.0,0.9495967741935484,0.9006753422058704,0.886146740855272,0.8930955894157705,992.0,0.9492450070413782,0.9495967741935484,0.9493459996658603,992.0,2.0109,493.307,15.416,2.0,4152,3409,369
1.0,100%,7930,snowood1/ConfliBERT-scr-cased,ConfliBERT,0.18706688284873962,0.9516129032258065,0.906635579469894,0.9512616350464638,0.9423963133640553,0.9578454332552693,0.9500580720092915,427.0,0.9671179883945842,0.9633911368015414,0.9652509652509652,519.0,0.8536585365853658,0.7608695652173914,0.8045977011494253,46.0,0.9516129032258065,0.9210576127813351,0.8940353784247339,0.906635579469894,992.0,0.9512154782925076,0.9516129032258065,0.9512616350464638,992.0,2.0428,485.61,15.175,2.0,4152,3409,369
1.0,100%,7930,FacebookAI/roberta-base,RoBERTa,0.19101950526237488,0.9485887096774194,0.9087109431681678,0.9483593258809053,0.9379310344827586,0.955503512880562,0.9466357308584686,427.0,0.9650485436893204,0.9576107899807321,0.9613152804642167,519.0,0.8571428571428571,0.782608695652174,0.8181818181818182,46.0,0.9485887096774194,0.9200408117716453,0.8985743328378226,0.9087109431681678,992.0,0.9483722956930108,0.9485887096774194,0.9483593258809053,992.0,1.9906,498.342,15.573,2.0,4152,3409,369
1.0,100%,7930,distilbert-base-cased,DistilBERT,0.1950133889913559,0.9526209677419355,0.9004003029319484,0.9522817555948601,0.9345372460496614,0.9695550351288056,0.9517241379310345,427.0,0.9783464566929134,0.9576107899807321,0.9678675754625121,519.0,0.8292682926829268,0.7391304347826086,0.7816091954022989,46.0,0.9526209677419355,0.9140506651418338,0.8887654199640487,0.9004003029319484,992.0,0.9525761658772601,0.9526209677419355,0.9522817555948601,992.0,1.2057,822.764,25.711,2.0,4152,3409,369
1.0,100%,7930,xlnet-base-cased,XLNet,0.19063487648963928,0.9576612903225806,0.9108889617720569,0.9572912734153036,0.9493087557603687,0.9648711943793911,0.9570267131242741,427.0,0.9729206963249516,0.9691714836223507,0.971042471042471,519.0,0.8536585365853658,0.7608695652173914,0.8045977011494253,46.0,0.9576612903225806,0.9252959962235621,0.8983040810730444,0.9108889617720569,992.0,0.9572267870819094,0.9576612903225806,0.9572912734153036,992.0,2.7922,355.27,11.102,2.0,4152,3409,369
1.0,100%,7930,google/electra-base-discriminator,ELECTRA,0.18605287373065948,0.9536290322580645,0.9080689996432909,0.9532858057836959,0.9426605504587156,0.9625292740046838,0.9524913093858632,427.0,0.970873786407767,0.9633911368015414,0.9671179883945842,519.0,0.8536585365853658,0.7608695652173914,0.8045977011494253,46.0,0.9536290322580645,0.9223976244839495,0.8955966586745389,0.9080689996432909,992.0,0.9532941964459974,0.9536290322580645,0.9532858057836959,992.0,2.1347,464.692,14.522,2.0,4152,3409,369
