incident_number,state,district,block,village_name,other_areas,constituency,incident_summary,Matched_Location,latitude,longitude
101170802,Andhra Pradesh,Khammam,Tekulapally,Sampathnagar,,Yellandu,"An activist of the ruling Congress party, Payam Lakhmaiah, was stabbed to death by CPI-Maoist cadres in the Sampathnagar village of Khammam District. The Police said that a six-member action team of the CPI-Maoist from Kothaguda (Warangal District) struck at his house at 10 p.m. and killed him in the presence of his family members.","khammam, sampathnagar",80.53738888888888,17.662555555555553
101171001,Andhra Pradesh,Khammam,,,Ngarajunasagar Project Guest house,Madhira,A former Naxalite was hacked to death by his rivals near the Ngarajunasagar Project Guest house in the Khammam town.,"khammam, ngarajunasagar project guest house",79.3145,16.570555555555554
101171501,Andhra Pradesh,Visakhapatnam,G. Madugula,Gurramveedhi,G. Madugula mandal,Paderu,"CPI-Maoist cadres retaliated to the killing of one of its senior leaders Sharath and a militia member near Korukonda shandy on October 19, 2014, after it killed a native of Veeravaram village Sanjeeva Rao, by destroying an ashram of Sanjeeva Rao's spiritual guru Simhachalam at Gurramveedhi village in G. Madugula mandal administrative unit.","g. madugula, gurramveedhi, g. madugula mandal",80.79627777777777,16.127583333333334
101171502,Andhra Pradesh,Visakhapatnam,G. Madugula,,G. Madugula mandal,Paderu,Five persons were reportedly arrested in connection with the CPI-Maoist attack on an Ashramam in G. Madugula mandal in Visakhapatnam District.,"visakhapatnam, g. madugula, g. madugula mandal",82.53197222222222,18.013694444444443
101180501,Andhra Pradesh,Anantapur,Garladinne,Mukundapuram,Garladinne,Singanamala,Suspected CPI-Maoist cadres kill two civilians in separate incidents at Mukundapuram and Kalagalla villages under Garladinne and Kuderu administrative division in the Anantapur District.,"anantapur, garladinne, mukundapuram, garladinne",78.61355555555555,15.162333333333335
101180502,Andhra Pradesh,Anantapur,Kudair,Kalagalla,Kuderu,Uravakonda,Suspected CPI-Maoist cadres kill two civilians in separate incidents at Mukundapuram and villages under Garladinne and Kuderu administrative division in the Anantapur District.,"anantapur, kuderu",77.4173888888889,14.814055555555557
101180801,Andhra Pradesh,Visakhapatnam,,Pulumamidi,,,"A civilian, Samireddy Ganeshwar Rao of Beram village, was hacked to death by the CPI-Maoist cadres at Pulumamidi village in the G. Madugula sub-division of Visakhapatnam District.","visakhapatnam, pulumamidi",78.41747222222223,17.063833333333335
101180803,Andhra Pradesh,Khammam,,,Yellandu,Yellandu,Police arrested three extremists working for the Sudhakar dalam of the CPI-Maoist in the Yellandu area in the Khammam District.,"khammam, yellandu, yellandu",80.32086111111111,17.593999999999998
101180901,Andhra Pradesh,Khammam,Cherla,Kaliveru,,Bhadrachalam,"The Police recovered a landmine, weighing five kilograms, which was planted by the CPI-Maoist cadres at the forest village of Kaliveru in the Khammam District. The landmine was laid targeting the Police officials bound for Pedamidisileru village where the department had organised a health camp.","khammam, kaliveru",80.8503611111111,18.02836111111111
101190501,Andhra Pradesh,Anantapur,Vajrakarur,Jarutla Rampuram,,Uravakonda,A Naxalite belonging to the Penna Ahobilam squad of the CPI-Maoist is killed in an encounter with the Police at Jarutlarampuram village in Anantapur District while another is arrested at the same place.,"anantapur, jarutlarampuram",77.36644444444444,14.89175
